id,name,tradingStatus,selections,type,isBestLine,parameters,extraParameters,isBetBuilderSupported
3022097,Handicap (incl. overtime),0,"[{'id': 47, 'name': '{$competitor1} ({+hcp})', 'probability': 0.5124948, 'price': 1.84, 'originalPrice': 1.86, 'status': 0, 'settlement': 0, 'deadHeatFactor': 0, 'extraParameters': {}, 'isBetBuilderSupported': False}, {'id': 48, 'name': '{$competitor2} ({-hcp})', 'probability': 0.48750523, 'price': 1.93, 'originalPrice': 1.95, 'status': 0, 'settlement': 0, 'deadHeatFactor': 0, 'extraParameters': {}, 'isBetBuilderSupported': False}]",28244,True,{'hcp': '-4.5'},{'hcp_for_the_rest': '-4.5'},False
3022086,Winner (incl. overtime),0,"[{'id': 1, 'name': '{$competitor1}', 'probability': 0.65674996, 'price': 1.46, 'originalPrice': 1.47, 'status': 0, 'settlement': 0, 'deadHeatFactor': 0, 'extraParameters': {}, 'isBetBuilderSupported': False}, {'id': 3, 'name': '{$competitor2}', 'probability': 0.34325004, 'price': 2.72, 'originalPrice': 2.75, 'status': 0, 'settlement': 0, 'deadHeatFactor': 0, 'extraParameters': {}, 'isBetBuilderSupported': False}]",28243,True,{},{},False
3023266,Total (incl. overtime),0,"[{'id': 20, 'name': 'Under {total}', 'probability': 0.5, 'price': 1.89, 'originalPrice': 1.9, 'status': 0, 'settlement': 0, 'deadHeatFactor': 0, 'extraParameters': {}, 'isBetBuilderSupported': False}, {'id': 19, 'name': 'Over {total}', 'probability': 0.5, 'price': 1.89, 'originalPrice': 1.9, 'status': 0, 'settlement': 0, 'deadHeatFactor': 0, 'extraParameters': {}, 'isBetBuilderSupported': False}]",28260,True,{'total': '170.5'},{},False
13167923,1st Period Odd/Even,0,"[{'id': 52, 'name': 'Odd', 'probability': 0.5, 'price': 1.9, 'originalPrice': 1.9, 'status': 0, 'settlement': 0, 'deadHeatFactor': 0, 'extraParameters': {}, 'isBetBuilderSupported': False}, {'id': 53, 'name': 'Even', 'probability': 0.5, 'price': 1.9, 'originalPrice': 1.9, 'status': 0, 'settlement': 0, 'deadHeatFactor': 0, 'extraParameters': {}, 'isBetBuilderSupported': False}]",310146,True,{},{},False
