id,sportId,locationId,league-aa,league-de,league-en,league-es,league-fr,league-ja,league-ko,league-pt,league-ru,league-th,league-tr,league-vi,league-zh
120978,11,94,,,,,,,,,,,,,
24981,11,204,Primera,Primera,Primera,Divisional A,Primera,ディビショナルA,Primera,Primeira Divisão,Primera,Primera,Primera,Divisional A,Primera
4935,11,62,,"College, Frauen","Ncaa, Women","Universitaria, Femenino","College, Femmes","Ncaa, Women","대학, 여자","Colégio, Feminino","Колледж, Женщины","Ncaa, Women","College, Kadınlar","Ncaa, Women","Ncaa, Women"
64415,11,45,,,,,,,,,,,,,
19527,11,24,A Lyga,A Lyga,A Lyga,A Lyga,A Lyga,A Lyga,A Lyga,Liga A,A Lyga,A Lyga,A Lyga,A Lyga,A Lyga
4200,11,11,,"KOVO Cup, Women","KOVO Cup, Women","Copa KOVO, Fem","KOVO Cup, Femmes",KOVOカップ・女子,"KOVO 컵, 여자","Taça KOVO, Fem.","KOVO Cup, Women","โคโว่ คัพ, หญิง","KOVO Cup, Women","Cúp KOVO, Nữ",韩国职业排球联盟杯，女子
13512,11,15,1. Lig,1. Lig,1. Lig,1. Liga,1. Lig,2.リーグ,1. Lig,1. Liga,1. Lig,1. Lig,1. Lig,2. Lig,1. Lig
25032,11,44,"U19 European Championship, Qualification, Women","U19 European Championship, Qualification, Women","U19 European Championship, Qualification, Women","Campeonato Europeo Sub-19, Clasificación, Femenino","U19 European Championship, Qualification, Women",U19 欧州選手権、予選、女子,"U19 European Championship, Qualification, Women","Campeonato Europeu Sub-19, Qualificação, Feminino","U19 European Championship, Qualification, Women","U19 European Championship, Qualification, Women","U19 European Championship, Qualification, Women","Giải Vô Địch Châu Âu, Vòng Bảng, Nữ","U19 European Championship, Qualification, Women"
123819,11,160,,,,,,,,,,,,,
13331,11,15,"Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Siêu Cúp, Nữ","Super Kupa, Women"
11537,11,46,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup
6334,11,40,,Premier League,Premier League,Premier League,Premier League,Premier League,Premier League,Liga Premier,Премьер Лига,Premier League,Premier League,Premier League,Premier League
14847,11,142,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale,Nacional 1A,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale
9268,11,171,,Championship,Championship,Championship,Championship,Championship,Championship,Campeonato,Championship,Championship,Championship,Championship,Championship
4921,11,30,,Vyscha Liga,Vyscha Liga,Vyscha Liga,Vyscha Liga,Vyscha Liga,Vyscha Liga,Liga Vyscha,Vyscha Liga,Vyscha Liga,Vyscha Liga,Vyscha Liga,Vyscha Liga
17036,11,59,Emperors Cup,Emperors Cup,Emperors Cup,Emperors Cup,Emperors Cup,Emperors Cup,Emperors Cup,Taça do Imperador,Emperors Cup,Emperors Cup,Emperors Cup,Emperors Cup,Emperors Cup
7494,11,15,Cup,Cup,Cup,Cup,Cup,カップ,컵,Cup,Кубок,คัพ,Cup,Cúp,Cup
4990,11,14,"Czech Cup, Women","Czech Cup, Women","Czech Cup, Women","Czech Cup, Women","Czech Cup, Women","Czech Cup, Women","Czech Cup, Women","Czech Cup, Women","Czech Cup, Women","Czech Cup, Women","Czech Cup, Women","Czech Cup, Women","Czech Cup, Women"
14485,11,49,Superliga,Superliga,Superliga,Superliga,Superliga,Superliga,Superliga,Superliga,Superliga,Superliga,Superliga,Superliga,Superliga
4718,11,12,,Superliga Frauen,"Superliga, Women","Superliga, Femenina",Superligue féminine,スーパーリーガ、女子,"슈퍼리가, 여자","Superliga, Feminino",Суперлига Женщины,"ซุปเปอร์ลิก้า, หญิง","Superliga, Kadınlar","Superliga, Nữ",超级联赛，女子
130479,11,150,,,,,,,,,,,,,
22941,11,37,Steierischer Cup,Steierischer Cup,Steierischer Cup,"Copa Steirischer, Hombres","Coupe Steierischer, Hommes",Steierischerカップ,Steierischer컵 남자,"Taça Steierischer, Masculinos","Кубок Стейеришер, Мужчины",Steierischer Cup,"Steierischer Kupası, Erkekler",Cúp Steierischer - Giải Nam,Steierischer杯男排赛
4862,11,21,,"Cup, Women","Cup, Women","Copa, Mujeres",Coupe Femmes,"Cup, Women",컵 여자,"Taça da Hungria, Feminino",Кубок. Женщины,คัพ หญิง,Kupa Bayanlar,Cúp Quốc Gia Nữ,匈牙利杯女排赛
12931,11,58,U19 Paulista,U19 Paulista,U19 Paulista,U19 Paulista,U19 Paulista,U19 Paulista,U19 Paulista,Taça Paulista Sub-19,U19 Paulista,U19 Paulista,U19 Paulista,U19 Paulista,U19 Paulista
4916,11,30,,"Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Taça da Ucrânia, Feminino","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women"
8284,11,44,,"European Silver League, Women","European Silver League, Women","Liga Europea, Plata, Fem","European Silver League, Women","European Silver League, Women","European Silver League, Women","Liga Europeia, Prata, F.","European Silver League, Women","European Silver League, Women","European Silver League, Women","Giải châu Âu, Bạc, Nữ","European Silver League, Women"
8427,11,44,,"International Friendly Games, Women","International Friendly Games, Women","Amistosos Internac, Fem.","Matchs amicaux internationaux, Femmes",国際親善試合、女子,"국제 친선경기, 여자","International Friendly Games, Women","International Friendly Games, Women","International Friendly Games, Women","International Friendly Games, Women","Giao hữu quốc tế, Nữ",国际友谊赛
35016,11,44,,,,,,,,,,,,,
6192,11,8,,"Division B, Women","Division B, Women","Division B, Women","Division B, Women","Division B, Women","Division B, Women","Divisão B, Feminino","Division B, Women","Division B, Women","Division B, Women","Division B, Women","Division B, Women"
4473,11,1,,1. Bundesliga Frauen,1st Bundesliga Women,1ª Bundesliga Fem,1. Bundesliga féminine,第1ブンデスリーガ女子,1. 분데스리가 여자,1. Bundesliga Feminina,1-я Бундеслига Женщины,"1.บุนเดสลีกา , หญิง",1.Bundesliga Bayanlar,"1. Bundesliga, Nữ",女子甲级联赛
4605,11,17,"Campeonato Nacional, Women","Campeonato Nacional, Women","Campeonato Nacional, Women","Campeonato Nacional, Women","Campeonato Nacional, Women","Campeonato Nacional, Women","Campeonato Nacional, Women","Campeonato Nacional, Women","Campeonato Nacional, Women","Campeonato Nacional, Women","Campeonato Nacional, Women","Campeonato Nacional, Women","Campeonato Nacional, Women"
4875,11,58,,"Campeonato Paulista, Women","Campeonato Paulista, Women","Campeonato Paulista, Femenino","Campeonato Paulista, Women",カンペオナート・パウリスタ、女子,"Campeonato Paulista, Women","Campeonato Paulista, Feminino","Campeonato Paulista, Women","Campeonato Paulista, Women","Campeonato Paulista, Women","Campeonato Paulista, Nữ","Campeonato Paulista, Women"
4577,11,15,,"First Division, Women","First Division, Women","Primera División, Femenino","First Division, Women","First Division, Women","First Division, Women","First Division, Women","First Division, Women","First Division, Women","1. Lig, Kadınlar","First Division, Women","First Division, Women"
4743,11,22,,Serie A1 Frauen,Serie A1 Women,"Serie A1, Fem.",Serie A1 Femmes,セリエ A1 女子,세리에 A1 여자,Série A1 Feminina,"Сериа А1, Женщины","ซีรีเอ 1, หญิง",Serie A Bayanlar,"Giải Serie A1, Nữ",甲级联赛，女子
5530,11,43,,2Nd Division,2Nd Division,2Nd Division,2Nd Division,2Nd Division,2Nd Division,2ª Divisão,2Nd Division,2Nd Division,2Nd Division,2Nd Division,2Nd Division
94036,11,42,,,,,,,,,,,,,
4472,11,1,,1. Bundesliga,1st Bundesliga,1ª Bundesliga,1. Bundesliga,第1ブンデスリーガ,1. 분데스리가,1. Bundesliga,1-я Бундеслига,1. บุนเดสลีกา,1st Bundesliga,"1. Bundesliga,",甲级联赛
5084,11,29,,Eliteserien Frauen,Eliteserien Women,Eliteserien Fem,Série Elite féminine,エリテセリエン 女子,"엘리테세리엔, 여자",Série de Elite Feminina,Элитсерия Женщины,"อีลิทซีเรียน, หญิง",Eliteserien Kadınlar,Giải vô địch quốc gia Nữ,超级联赛
45826,11,43,,,,,,,,,,,,,
8140,11,46,,Youth Cup,Youth Cup,Copa Juvenil,Youth Cup,Youth Cup,Youth Cup,Taça da Juventude,Youth Cup,Youth Cup,Youth Cup,Cúp Thiếu Niên,Youth Cup
57024,11,3,,,,,,,,,,,,,
5208,11,24,,"Lithuania Championship, Women","Lithuania Championship, Women","Campeonato de Lituania, Mujeres",Championnat Lituanien Femmes,リトアニアチャンピオンシップ女子,"Lithuania Championship, Women","Campeonato da Lituânia, Feminino",Чемпионат Литвы. Женщины,"Lithuania Championship, Women",Bayanlar Litvanya Şampiyonası,"Lithuania Championship, Women","Lithuania Championship, Women"
11003,11,34,Championship,Championship,Championship,Championship,Championship,Championship,Championship,Championship,Championship,Championship,Championship,Championship,Championship
11191,11,58,"Paranaense, Serie A, Women","Paranaense, Serie A, Women","Paranaense, Serie A, Women","Paranaense, Serie A, Women","Paranaense, Serie A, Women","Paranaense, Serie A, Women","Paranaense, Serie A, Women","aranaense, Série B, Feminino","Paranaense, Serie A, Women","Paranaense, Serie A, Women","Paranaense, Serie A, Women","Paranaense, Serie A, Women","Paranaense, Serie A, Women"
58975,11,157,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023,Tipsport Czech Ladies Open 2023
131735,11,54,,,,,,,,,,,,,
6120,11,184,,Thailand Volleyball League,Thailand Volleyball League,Liga de Voleibol de Tailandia,Thailand Volleyball League,Thailand Volleyball League,Thailand Volleyball League,Liga de Voleibol da Tailândia,Thailand Volleyball League,Thailand Volleyball League,Thailand Volleyball League,Thailand Volleyball League,Thailand Volleyball League
33129,11,44,,,,,,,,,,,,,
4992,11,31,,Mestaruusliiga Frauen,"Mestaruusliiga, Women","Camp. de Liga, Femenina","Mestaruusliiga, femmes",フィンランドバレーボールリーグ、女子,"핀란드 배구 리그, 여자","Mestarrusliga, Feminino","Местарууслига, Женщины","เมสตารุอัสลิก้า, หญิง","Mestaruusliiga, Kadınlar","Giải vô địch quốc gia, Nữ",芬兰排球冠军联赛，女子
5293,11,19,,"Super League, Qualification, Group 1","Super League, Qualification, Group 1","Super League, Qualification, Group 1","Super League, Qualification, Group 1","Super League, Qualification, Group 1","Super League, Qualification, Group 1","Super Liga, Qualificação, Grupo 1","Super League, Qualification, Group 1","Super League, Qualification, Group 1","Super League, Qualification, Group 1","Super League, Qualification, Group 1","Super League, Qualification, Group 1"
12041,11,40,"Premier League, Women","Premier League, Women","Premier League, Women","Premier League, Women","Premier League, Women","Premier League, Women","Premier League, Women","Liga Premier, Feminino","Премьер Лига, Женщины","Premier League, Women","Premier League, Women","Premier League, Women","Premier League, Women"
107351,11,35,,,,,,,,,,,,,
4881,11,30,,"Vyscha Liga, Women","Vyscha Liga, Women","Vyscha Liga, Women","Vyscha Liga, Women","Vyscha Liga, Women","Vyscha Liga, Women","Liga Vyscha, Feminino","Vyscha Liga, Women","Vyscha Liga, Women","Vyscha Liga, Women","Vyscha Liga, Women","Vyscha Liga, Women"
5658,11,26,,Div 1,Div 1,Div 1,Div 1,Div 1,디비전 1,Divisão 1,Дивизион 1,ดิฟ 1,Div 1,Giải vô địch quốc gia,罗马尼亚排球甲级联赛
11321,11,231,Zava,Zava,Zava,Zava,Zava,Zava,Zava,ZAVA,Zava,Zava,Zava,Zava,Zava
15458,11,185,Copa Aclav,Copa Aclav,Copa Aclav,Copa Aclav,Copa Aclav,Copa Aclav,Copa Aclav,Taça ACLAV,Copa Aclav,Copa Aclav,Copa Aclav,Copa Aclav,Copa Aclav
6925,11,58,"Superliga B, Women","Superliga B, Women","Superliga B, Women","Superliga B, Women","Superliga B, Women","Superliga B, Women","Superliga B, Women","Superliga B, Women","Superliga B, Women","Superliga B, Women","Superliga B, Women","Superliga B, Women","Superliga B, Women"
5173,11,6,,"Prva Liga, Women","Prva Liga, Women","Primera Liga, Mujeres","Division 1, Femmes",第1リーグ女子,"퍼스트리그, 여자","Segunda Liga, Femininos","Первая Лига, Женщины","Prva Liga, Women","1. Lig, Kadınlar",Giải vô địch quốc gia Nữ,克罗地亚女排甲级联赛
6196,11,3,,II Liga,II Liga,II Liga,"Division II, Hommes",IIリーガ,II Liga,"2ª Liga, Masculinos","II Лига, Мужчины",II Liga,II Liga,II Liga,II Liga
6526,11,17,,"Taca de Portugal, Women","Taca de Portugal, Women","Taca de Portugal, Women","Taca de Portugal, Women",タカ・デ・ポルトガル、女子,"Taca de Portugal, Women","Taça de Portugal, Feminina","Taca de Portugal, Women","Taca de Portugal, Women","Taca de Portugal, Women","Taça de Portugal, Nữ","Taca de Portugal, Women"
42762,11,89,,,,,,,,,,,,,
5227,11,1,,Super Cup,Super Cup,Supercopa,Supercoupe,Super Cup,슈퍼컵,Supertaça,Суперкубок,ซูเปอร์ คัพ,Super Cup,Siêu cúp,超级杯
5437,11,58,,Carioca Championship,Carioca Championship,Campeonato Carioca,Carioca Championship,カリオカ・チャンピオンシップ,카리오카 챔피언쉽,Campeonato Carioca,Чемпионат Кариока,Carioca Championship,Carioca Championship,Giải Vô Địch Bóng Chuyền Carioca,Carioca Championship
11547,11,44,U19 World Championship,U19 Weltmeisterschaft,U19 World Championship,"Camp Mundial Sub-19, Fem",U19 World Championship,バレーボールユース世界選手権,U19 월드 챔피언십,Camp. Mundo S19,U19 World Championship,ยู19 เวิลด์ แชมเปียนชิพ ,U19 World Championship,Giải Vô Địch Thế Giới U19,世界U19锦标赛
7389,11,143,,Egyptian Volleyball League,Egyptian Volleyball League,Egyptian Volleyball League,Egyptian Volleyball League,Egyptian Volleyball League,Egyptian Volleyball League,Liga de Voleibol do Egito,Egyptian Volleyball League,Egyptian Volleyball League,Egyptian Volleyball League,Egyptian Volleyball League,Egyptian Volleyball League
58940,11,157,,,,,,,,,,,,,
80391,11,54,,,,,,,,,,,,,
13129,11,26,"Super Cup, Women","Super Cup, Frauen","Super Cup, Women","Supercopa, Femenino","Super Cup, Women","Super Cup, Women","슈퍼컵, 여자","Supertaça da Roménia, Feminino","Суперкубок, Женщины",ซูเปอร์ คัพ วูเม็น,"Süper Kupa, Kadınlar","Siêu cúp, nữ",罗马尼亚女子排球超级杯
4922,11,44,,U20 Europameisterschaft,U20 European Championship,Campeonato Europeo Sub20,Championnat d'Europe U20,U20 欧州選手権,U20 유럽 챔피언십,Camp. Europeu Sub-20,U20 Чемпионат Европы,U20 European Championship,U20 European Championship,Vô Địch U20 Châu Âu,U20 European Championship
17562,11,14,"1. Liga, Women","1. Liga, Women","1. Liga, Women","1. Liga, Women","1. Liga, Women","1. Liga, Women","1. Liga, Women","1ª Liga, Feminino","1. Liga, Women","1. Liga, Women","1. Liga, Women","1. Liga, Women","1. Liga, Women"
5142,11,16,,Cup,Cup,Cup,Cup,Cup,Cup,Taça da Eslovénia,Cup,Cup,Cup,Cup,Cup
75800,11,1,,,,,,,,,,,,,
42293,11,20,,,,,,,,,,,,,
4929,11,44,,Challenge Cup,Challenge Cup,Copa Challenge,Challenge Cup,チャレンジカップ男子,챌린지컵,Taça Challenge,Кубок Чаллэндж Мужчины,ชาเร็นจ์ คัพ ชาย,Challange Kupası Erkekler,Cúp Challenge,世界排球挑战杯
22635,11,66,كأس فرنسا,Coupe de France,Coupe de France,Copa de Francia,Coupe de France,フランス・バレーボール・カップ,쿠프 드 프랑스,Taça de França,Кубок Франции,เฟรนชคัพ,Coupe de France,Cúp quốc gia Pháp,法国杯
105050,11,53,,,,,,,,,,,,,
21804,11,44,ابطال الاندية العربية,Arab Club Championship,Arab Club Championship,Campeonato de clubs campeones Arabia,Champions des Clubs Arabes,アラビアンクラブ選手権,아라비안 클럽 챔피언스,Campeões de Clubes Arabes,Арабские Чемпионы Клубов,อาราเบียน คัพ แชมป์เปี้ยน,Arap Kulüpler Şampiyonası,Giải vô địch cấp câu lạc bộ Khối Ả Rập,阿拉伯俱乐部排球锦标赛
106690,11,31,,,,,,,,,,,,,
9221,11,59,,"V Summer League, Women","V Summer League, Women","V Summer League, Women","V Summer League, Women","V Summer League, Women","V Summer League, Women","Liga de Verão V, Feminino","V Summer League, Women","V Summer League, Women","V Summer League, Women","V Summer League, Women","V Summer League, Women"
83036,11,160,,,,,,,,,,,,,
5867,11,22,,Serie A3,Serie A3,Serie A3,Serie A3,Serie A3,Serie A3,Serie A3,Serie A3,Serie A3,Serie A3,Serie A3,Serie A3
5605,11,27,,Esiliiga,Esiliiga,Esiliiga,Esiliiga,Esiliiga,Esiliiga,Esiliiga,Esiliiga,Esiliiga,Esiliiga,Esiliiga,Esiliiga
5004,11,57,,Super League,Super League,Super League,Super League,スーパーリーグ,슈퍼리그,Super League,Super League,ซูเปอร์ ลีก,Super League,Giải vô địch quốc gia,超级联赛
5470,11,43,,"A2, Women","A2, Women","A2, Women","A2, Women","A2, Women","A2, Women","Liga A2, Feminino","A2, Women","A2, Women","A2, Women","A2, Women","A2, Women"
7787,11,9,,"Premier League, Women","Premier League, Women","Premier League, Women","Premier League, Women","Premier League, Women","Premier League, Women","Liga Premier, Feminino","Premier League, Women","Premier League, Women","Premier League, Women","Premier League, Women","Premier League, Women"
4905,11,23,,Supercopa,Supercopa,Supercopa,Supercopa,スーペルコパ,Supercopa,Supertaça,Supercopa,Supercopa,Supercopa,Supercopa,Supercopa
7768,11,17,,"Liga A2, Women","Liga A2, Women","Liga A2, Women","Liga A2, Women",II ディビシオン、女子,"Liga A2, Women","II Divisão, Feminina","Liga A2, Women","Liga A2, Women","Liga A2, Women","II Divisao, Nữ","Liga A2, Women"
76383,11,44,,,,,,,,,,,,,
4943,11,20,,Elitserien,Elitserien,Eliteserien,Série Elite,エリテセリエン,엘리트세리엔,Série de Elite,Элитсерия,อลิตซีเรียน,Eliteserien,Giải vô địch quốc gia,超级联赛
6501,11,23,,Superliga2,Superliga2,Superliga2,Superliga2,スーペルリーガ2,Superliga2,Superliga 2,Superliga2,Superliga2,Superliga2,Superliga2,Superliga2
7358,11,2,,Winner State Cup,Winner State Cup,"Copa de Liga, Hombres",Ligat Al Coupe Hommes,Winner State Cup,Ligat Al컵 남자,Taça Estatal dos Vencedores,Лигат Ал Кубок Мужчины,Winner State Cup,Winner State Cup,Cúp quốc gia Nam,Winner State Cup
16201,11,44,بطولة العالم للأندية  للنساء  FiVB,Club WM Frauen,FiVB Club World Championships Women,"Campeonato Mundial Clubes FiVB, Fem.","Championnats du Monde des clubs FIVB, Femmes",FiVBクラブ世界選手権女子,FiVB 클럽 월드 챔피언쉽 여자,Campeonatos do Mundo FiVB de Clubes Femininos,ФиВБ Клубный Чемпионат Мира Женщины,FiVB Club World Championships Women,FiVB Kulüpler Dünya Şampiyonası Kadınlar,"Giải vô địch thế giới cấp Câu lạc bộ, Nữ",国际排联世界女排俱乐部锦标赛
5069,11,35,,"Nationalliga A, Frauen","Nationalliga A, Women","Liga Nacional A, Femenina","Ligue Nationale A, Femmes",スイスバレーボールリーグ、女子,"네이셔널리가 A, 여자","Liga Nacional A, Feminino","Национальная лига A, Женщины","เนชันแนลลิก้า เอ, หญิง","Nationalliga A, Kadınlar","Giải vô địch quốc gia, Nữ",瑞士排球全国甲级联赛，女子
4748,11,12,"Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women"
92474,11,17,,,,,,,,,,,,,
4569,11,14,,Extraliga,Extraliga,Extraliga,Extraliga,エクストラリーガ,엑스트라리가,Extraliga,Экстралига,เอ็กซ์ตราลีกา,Extraliga,Extraliga,捷克排球超级联赛
26525,11,9,Cup Mai Linh,Cup Mai Linh,Cup Mai Linh,Cup Mai Linh,Cup Mai Linh,Cup Mai Linh,Cup Mai Linh,Cup Mai Linh,Cup Mai Linh,Cup Mai Linh,Cup Mai Linh,Cup Mai Linh,Cup Mai Linh
92214,11,42,,,,,,,,,,,,,
7629,11,43,,"Cup, Frauen","Cup, Women","Copa, Fem",Coupe féminine,カップ、女子,"컵, 여자","Taça da Lituânia, Fem.","Кубок, Женщины","คัพ, หญิง","Cup, Women","Cúp, Nữ",希腊女排杯
5140,11,16,,"Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Taça da Eslovénia, Feminino","Cup, Women","Cup, Women","Cup, Women","Cup, Women","Cup, Women"
21419,11,160,Bsi Proliga,Bsi Proliga,Bsi Proliga,Bsi Proliga,Bsi Proliga,Bsi Proliga,Bsi Proliga,BSI Proliga,Bsi Proliga,Bsi Proliga,Bsi Proliga,Bsi Proliga,Bsi Proliga
5188,11,43,,"A1, Frauen","A1, Women","A1, Fem","A1, Femmes",A1、女子,"A1, 여자","Liga A1, Feminina","А1, Женщины","เอ 1, หญิง","A1, Kadınlar","Giải vô đich quốc gia A1, Nữ",甲级联赛，女子
11322,11,231,"Zava, Women","Zava, Women","Zava, Women","Zava, Women","Zava, Women","Zava, Women","Zava, Women","ZAVA, Feminino","Zava, Women","Zava, Women","Zava, Women","Zava, Women","Zava, Women"
11819,11,185,"Metro Division de Honor, Women","Metro Division de Honor, Women","Metro Division de Honor, Women","Metro Division de Honor, Women","Metro Division de Honor, Women","Metro Division de Honor, Women","Metro Division de Honor, Women","Metro Divisão de Honra, Feminino","Metro Division de Honor, Women","Metro Division de Honor, Women","Metro Division de Honor, Women","Metro Division de Honor, Women","Metro Division de Honor, Women"
79688,11,66,,,,,,,,,,,,,
6198,11,33,,1. Division,1. Division,1. Division,1. Division,1. Division,1. Division,1ª Divisão,1. Division,1. Division,1. Division,1. Division,1. Division
6825,11,3,,Puchar Polski,Puchar Polski,Copa Polaca,Coupe de Pologne,プハール ポルスキ,푸카 폴스키,Taça da Polónia,Кубок Польши,พูชาร์ พอลสกี้,Polonya Puchar Kupası,Puchar Polski,波兰杯
39506,11,239,,,,,,,,,,,,,
124815,11,47,,,,,,,,,,,,,
83035,11,160,,,,,,,,,,,,,
17045,11,59,Empress Cup,Empress Cup,Empress Cup,Empress Cup,Empress Cup,Empress Cup,Empress Cup,Taça do Imperador,Empress Cup,Empress Cup,Empress Cup,Empress Cup,Empress Cup
8537,11,44,,Europa Liga,European League,Liga Europea,Ligue Européenne,ヨーロピアンリーグ,유러피언 리그 남자,Liga Europeia,Европейская Лига Мужчины,ยูโรเปี้ยน ลีก ชาย,Avrupa Ligi Erkekler,Giải Nam Châu Âu,欧洲男排联赛
5352,11,22,,Serie A2,Serie A2,Serie A2,Serie A2,セリエ A2,세리에 A2,Série A2,Serie A2,ซีรีเอ 2,Serie A2,Giải Serie A2,意大利排球A2系列赛
5561,11,19,,"Volleyball Super League, Women","Volleyball Super League, Women","Volleyball Super League, Women",Super League féminine bulgare,バレーボールスーパーリーグ、女子,"배구 슈퍼 리그, 여자","Volleyball Super League, Women","Volleyball Super League, Women","วอลเลย์บอล ซูเปอร์ ลีก, หญิง","Volleyball Super League, Women","Giải vô địch bóng chuyền quốc gia, Nữ",排球超级联赛，女子
33816,11,44,,,,,,,,,,,,,
4830,11,22,,SuperLega,SuperLega,Superliga,SuperLega,セリエ A,수퍼리가,Superliga,Суперлига,ซูเปอร์ลีก้า,SuperLega,SuperLega,意大利排球超级联赛
35649,11,44,,,,,,,,,,,,,
10245,11,58,"Copa Sao Paulo, Women","Copa Sao Paulo, Women","Copa Sao Paulo, Women","Copa Sao Paulo, Femenina","Copa Sao Paulo, Women",コパ・サンパウロ、女子,"Copa Sao Paulo, Women","Copa de São Paulo, Feminino","Copa Sao Paulo, Women","Copa Sao Paulo, Women","Copa Sao Paulo, Women","Copa Sao Paulo, Nữ","Copa Sao Paulo, Women"
15364,11,54,Jordan Volleyball League Women,Jordan Volleyball League Women,Jordan Volleyball League Women,Jordan Volleyball League Women,Jordan Volleyball League Women,Jordan Volleyball League Women,Jordan Volleyball League Women,"Liga de Voleibol da Jordânia, Feminino",Jordan Volleyball League Women,Jordan Volleyball League Women,Jordan Volleyball League Women,Jordan Volleyball League Women,Jordan Volleyball League Women
5118,11,27,,Cup,Cup,Cup,Cup,Cup,Cup,Taça da Estónia,Cup,Cup,Cup,Cup,Cup
127521,11,44,,,,,,,,,,,,,
106795,11,150,,,,,,,,,,,,,
6575,11,185,"Liga Argentina, Women","Liga Argentina, Women","Liga Argentina, Women","Liga Argentina, Women","Liga Argentina, Women","Liga Argentina, Women","Liga Argentina, Women","Liga Argentina, Women","Liga Argentina, Women","Liga Argentina, Women","Liga Argentina, Women","Liga Argentina, Women","Liga Argentina, Women"
5689,11,1,,DVV Cup,DVV Cup,Copa DVV,Coupe DVV,DVV カップ,DVV 컵,Taça DVV,DVV Cup,ดีวีวี คลับ,DVV Kupası,Cúp DVV,德国排球协会杯
4658,11,46,,Superliga,Superliga,Superliga,Superligue,スーパーリーグ,수퍼리그,Superliga,Суперлига,ซูเปอร์ลิก้า,Superliga,Superliga,俄罗斯排球超级联赛
13128,11,8,Super Cup,Super Cup,Super Cup,Super Cup,Super Cup,Super Cup,Super Cup,Super Cup,Super Cup,Super Cup,Super Cup,Super Cup,Super Cup
81311,11,239,,,,,,,,,,,,,
6684,11,33,,Landspokalen,Landspokalen,Landspokalen,Coupe du Danemark,ランドスポカレン,Landspokalen,Landspokalen,Landspokalen,Landspokalen,Danimarka Vol. Kupası,Cúp Landspokalen,Landspokalen
5326,11,59,,V League,V League,Liga V,V League,Vリーグ,V리그,V League,V Лига,วี ลีก,V Ligi,Giải V League,V联赛
56926,11,269,,,,,,,,,,,,,
6300,11,44,,International Friendly Games,International Friendly Games,Amistosos Internacionales,Matchs amicaux internationaux,国際親善試合,국제 친선경기,International Friendly Games,International Friendly Games,International Friendly Games,International Friendly Games,Giao hữu quốc tế,国际友谊赛
123104,11,2,,,,,,,,,,,,,
6511,11,12,,Prva Liga,Prva Liga,Prva Liga,Prva Liga,Prva Liga,Prva Liga,Liga Prva,Prva Liga,Prva Liga,Prva Liga,Prva Liga,Prva Liga
5673,11,1,,2. Bundesliga North,2. Bundesliga North,2a Bundesliga Norte,Volley - Allemagne - 2. Bundesliga Nord,ブンデスリーガ２北部,2. Bundesliga North,2. Bundesliga Norte,2 Бундеслига. Север,2. Bundesliga North,2. Bundesliga North,2. Bundesliga Khu Vực Phía Bắc,2. Bundesliga North
4423,11,63,,"National A, Women","National A, Women","National A, Women","National A, Women","National A, Women","National A, Women","Nacional A, Feminino","National A, Women","National A, Women","National A, Women","National A, Women","National A, Women"
64690,11,9,,,,,,,,,,,,,
8485,11,76,,"Cuva Championship, Women","Cuva Championship, Women","Cuva Championship, Women","Cuva Championship, Women","Cuva Championship, Women","Cuva Championship, Women","Cuva Championship, Women","Cuva Championship, Women","Cuva Championship, Women","Cuva Championship, Women","Cuva Championship, Women","Cuva Championship, Women"
4541,11,44,,"Club Friendly Games, Women","Club Friendly Games, Women","Club Friendly Games, Women",Matches Amicaux de Clubs Femmes,クラブ・フレンドリー女子,"Club Friendly Games, Women","Jogos Amigáveis Internacionais de Clubes, Feminino",Товарищеские игры среди клубов. Женщины,กระชับมิตร สโมสร หญิง,Club Friendly Bayanlar,Giao hữu Câu lạc bộ Nữ,"Club Friendly Games, Women"
123820,11,160,,,,,,,,,,,,,
