id,sportId,locationId,league-aa,league-de,league-en,league-es,league-fr,league-ja,league-ko,league-pt,league-ru,league-th,league-tr,league-vi,league-zh
14400,23,44,"All Africa Individual Championships, Singles","All Africa Individual Championships, Singles","All Africa Individual Championships, Singles","Campeonatos All Africa Individual, Individual","All Africa Individual Championships, Singles","All Africa Individual Championships, Singles","All Africa Individual Championships, Singles","All Africa Individual Championships, Singles","All Africa Individual Championships, Singles","All Africa Individual Championships, Singles","All Africa Individual Championships, Singles","Giải Vô Địch Cá Nhân Toàn Châu Phi, Đơn","All Africa Individual Championships, Singles"
5548,23,44,,"SaarLorLux Open, Mixed Doubles","SaarLorLux Open, Mixed Doubles","SaarLorLux Open, Mixed Doubles","SaarLorLux Open, Mixed Doubles","SaarLorLux Open, Mixed Doubles","SaarLorLux Open, Mixed Doubles","SaarLorLux Open, Mixed Doubles","SaarLorLux Open, Mixed Doubles","SaarLorLux Open, Mixed Doubles","SaarLorLux Open, Mixed Doubles","SaarLorLux mở rộng 2018, Đôi Nam Nữ","SaarLorLux Open, Mixed Doubles"
9117,23,44,,"Spanish International, Mixed Doubles","Spanish International, Mixed Doubles","Int. España (IC), DobMix","Spanish International, Mixed Doubles","Spanish International, Mixed Doubles","Spanish International, Mixed Doubles","Int. Espanha (IC), PX","Spanish International, Mixed Doubles","Spanish International, Mixed Doubles","Spanish International, Mixed Doubles","Tây Ban Nha International, Đôi Nam Nữ","Spanish International, Mixed Doubles"
8755,23,44,,"Austrian Open , Women, Singles","Austrian Open , Women, Singles","Open de Austria, Fem, Ind","Austrian Open , Women, Singles",オーストリアオープン (IC)、女子ダブル,"Austrian Open , Women, Singles",Pares Femininos,"Austrian Open , Women, Singles","Austrian Open , Women, Singles","Austrian Open , Women, Singles","Úc mở rộng (IC), Đôi Nữ","Austrian Open , Women, Singles"
9122,23,44,,"Spanish International, Doubles","Spanish International, Doubles","Int. España (IC), Dob","Spanish International, Doubles","Spanish International, Doubles","Spanish International, Doubles","Int. Espanha (IC), P","Spanish International, Doubles","Spanish International, Doubles","Spanish International, Doubles","Tây Ban Nha International, Đôi Nam","Spanish International, Doubles"
132428,23,44,,,,,,,,,,,,,
5534,23,44,,"SaarLorLux Open, Women, Doubles","SaarLorLux Open, Women, Doubles","SaarLorLux Open, Women, Doubles","SaarLorLux Open, Women, Doubles","SaarLorLux Open, Women, Doubles","SaarLorLux Open, Women, Doubles","SaarLorLux Open, Women, Doubles","SaarLorLux Open, Women, Doubles","SaarLorLux Open, Women, Doubles","SaarLorLux Open, Women, Doubles","SaarLorLux mở rộng 2018, Đôi Nữ","SaarLorLux Open, Women, Doubles"
8757,23,44,,"Austrian Open, Women, Doubles","Austrian Open, Women, Doubles","Open de Austria, Fem, Dob","Austrian Open, Women, Doubles",オーストリアオープン (IC)、女子シングルス,"Austrian Open, Women, Doubles",Feminino,"Austrian Open, Women, Doubles","Austrian Open, Women, Doubles","Austrian Open, Women, Doubles","Úc mở rộng (IC), Đơn Nữ","Austrian Open, Women, Doubles"
37760,23,44,,,,,,,,,,,,,
52859,23,44,,,,,,,,,,,,,
