id,name,sportId,sportName,groupId,groupName,isMultilineMarket,isFreeText
3835498,Olympic Games 2024 - Rowing - Four Women - Top 3,297,Rowing,,,False,False
3780713,Olympic Games 2024 - Rowing - Four Women - Winner,297,Rowing,,,False,False
3835484,Olympic Games 2024 - Rowing - Lightweight Double Sculls - Top 3,297,Rowing,,,False,False
3825334,Olympic Games 2024 - Rowing - Lightweight Double Sculls - Winner,297,Rowing,,,False,False
3835492,Olympic Games 2024 - Rowing - Lightweight Double Sculls Women - Top 3,297,Rowing,,,False,False
3825335,Olympic Games 2024 - Rowing - Lightweight Double Sculls Women - Winner,297,Rowing,,,False,False
3835496,Olympic Games 2024 - Rowing - Pair - Top 3,297,Rowing,,,False,False
3800564,Olympic Games 2024 - Rowing - Pair - Winner,297,Rowing,,,False,False
3850678,Olympic Games 2024 - Rowing - Pair Women - Top 3,297,Rowing,,,False,False
3800349,Olympic Games 2024 - Rowing - Pair Women - Winner,297,Rowing,,,False,False
3835483,Olympic Games 2024 - Rowing - Quadruple Sculls - Top 3,297,Rowing,,,False,False
3780712,Olympic Games 2024 - Rowing - Quadruple Sculls - Winner,297,Rowing,,,False,False
3835493,Olympic Games 2024 - Rowing - Quadruple Sculls Women - Top 3,297,Rowing,,,False,False
3780714,Olympic Games 2024 - Rowing - Quadruple Sculls Women - Winner,297,Rowing,,,False,False
3833047,Olympic Games 2024 - Rowing - Single Sculls - Top 3,297,Rowing,,,False,False
3780788,Olympic Games 2024 - Rowing - Single Sculls - Winner,297,Rowing,,,False,False
3833085,Olympic Games 2024 - Rowing - Single Sculls Women - Top 3,297,Rowing,,,False,False
3780789,Olympic Games 2024 - Rowing - Single Sculls Women - Winner,297,Rowing,,,False,False
154,{!goalnr} goal,21,Futsal,1.0,Main,False,False
45117,{$competitor1} goal range,21,Futsal,6.0,Goals,False,False
45118,{$competitor2} goal range,21,Futsal,6.0,Goals,False,False
1558111,12,21,Futsal,1.0,Main,False,False
333196,1st Half -  Asian Total,21,Futsal,3.0,1st Half,True,False
123,1st half - {!goalnr} goal,21,Futsal,3.0,1st Half,False,False
122,1st half - 1x2,21,Futsal,3.0,1st Half,False,False
333209,1st Half - Asian Handicap,21,Futsal,3.0,1st Half,True,False
7598,1st half - correct score [{score}],21,Futsal,3.0,1st Half,False,False
127,1st half - handicap,21,Futsal,3.0,1st Half,True,False
131,1st half - total,21,Futsal,3.0,1st Half,True,False
7592,1st half - which team wins the rest,21,Futsal,3.0,1st Half,False,False
310146,1st Period Odd/Even,21,Futsal,398.0,Odd/Even,False,False
310147,1st Period Winner,21,Futsal,29.0,Quarter Markets,False,False
1,1x2,21,Futsal,1.0,Main,False,False
4329826,2ND_HALF,21,Futsal,,,False,False
333189,Asian Handicap,21,Futsal,1.0,Main,True,False
333194,Asian Total,21,Futsal,1.0,Main,True,False
86,Both teams to score,21,Futsal,1.0,Main,False,False
101,Correct score,21,Futsal,1.0,Main,False,False
215,Correct score [{score}],21,Futsal,31.0,Extra Markets,False,False
1276096,Correct Score 1st Period,21,Futsal,29.0,Quarter Markets,False,False
1442875,Correct Score 2nd Period,21,Futsal,29.0,Quarter Markets,False,False
2,Double chance,21,Futsal,1.0,Main,False,False
1777755,Double Chance 1st Period,21,Futsal,29.0,Quarter Markets,False,False
2107998,DOUBLE_CHANCE,21,Futsal,,,False,False
3108244,DOUBLE_CHANCE_1ST_HALF,21,Futsal,3.0,1st Half,False,False
3108241,DOUBLE_CHANCE_2ND_HALF,21,Futsal,,,False,False
5,Draw no bet,21,Futsal,1.0,Main,False,False
3108240,DRAW_NO_BET_1ST_HALF,21,Futsal,3.0,1st Half,False,False
